用户名,评论时间,评论内容,评分,赞同数
阿喵,2023-01-22 13:06:00,导演想表达的很多，但他实力其实有限，根本做不出他自己想要的效果，整体就会很凌乱稀碎，说得好听那叫文艺，说的不好听就是没水平。演员不想过多做评价，但想说无论粉丝怎么吹，不行就是不行，观众长眼睛。总体不推荐。,20,1963
Riverside,2023-01-22 12:26:12,电影唯一最好看就是周迅姐穿旗袍了，黄磊和周迅对手戏那里稍微看进去了点，梁朝伟出现的好少，本来是带我姐看梁朝伟的，结果完全不知所云，前半部拍日本人虐杀中国人皮蛋那么详细，后边戛然而止，影片结构也是烂。王一博和张婧仪地对手戏看的真尴尬，王的脸真的太肿了，演技也浮于表面，表情都不会摆，后悔选这部了，晚上还买了球2的票，希望不像这个诈骗电影恰烂钱,20,1796
爱看电影的水瓶,2023-01-22 13:02:34,除了几处为了迎合观众认知的重复镜头，其他无可挑剔。关于演员吧，别戴有色眼镜去看就好，当然是有提升空间的。,40,872
Cartrigde,2023-01-22 11:28:37,影片结束我还舍不得走，还沉浸在剧情中。程耳，我终于还你的电影票了！无名值得！笑到最后！我还要再看！永远相信程耳！,50,13209
小居头,2023-01-22 13:52:31,如果你看过《罗曼蒂克消亡史》，并且觉得合你口味，那么这部电影你就不应该错过。我是挺喜欢的，那些刻意的固定镜头，那些大段对白的长镜头，以及多线叙事，一点点拼凑出完整的故事，还有最后的那场打斗，虽然对于故事里的角色来看未免太过了些，总之是一部能到8分的电影，但是过年想和家人一起选部电影看的话，并不推荐这部，它和春节档的氛围并不相符。,40,928
迷迷大王🫡🫡,2023-01-22 14:14:19,1.非线性叙事拍的好叫百转千回，悬念叠叠，拍的不好叫故弄玄虚；2.就是真的连最基本的故事都没有讲清楚，看到最后也不知道公爵那条线到底要讲什么；3.一星给构图，一星给大年初一的好心情；4.两个年轻演员半斤八两，对不住这么好的资源，心疼所有其他演员；5.策划和营销真的有问题，这种有较高观影门槛的电影真的不适合在贺岁档上映,20,1138
今年上岸,2023-01-22 11:28:45,导演确实有艺术追求，布景、构图、调色和细节都很到位，剪辑手法也很新颖，梁朝伟稳定发挥，但是故事没讲好，人物不丰满，反转生硬，没有感情，甚至怀疑剪辑也是为了硬造悬疑以加强故事性，总结：仿佛在吃巧克力味的屎,30,210
狗芦苇,2023-01-22 13:07:56,程耳导演光顾着高级了   叙事还差了一大截,30,294
吃瓜群众773,2023-01-22 11:20:28,王一博肿胀的脸在大屏幕下看得我晕眩了，还有他一如既往稀烂的演技，大过年的真的我自找折磨😓 一场点映都没有的电影，果然烂的可以…,10,3506
tita,2023-01-22 12:07:44,不知所云，一部电影，如果连基本的剧情都讲不清楚的话建议先去进修下语文，电影最基础应该是剧情连贯，而不是整些高大上的东西故弄玄虚，白瞎了影帝影后，我的2颗星是给影帝影后的，剧情一颗星我都嫌多。,20,1141
拥有机甲的少女,2023-01-22 12:05:37,程耳在发什么疯,30,473
蓝色11号,2023-01-22 12:35:43,作为谍战片实在不合格，一大早的去差点睡着在电影院……,20,1417
雷因法鲁斯,2023-01-22 13:25:34,梁生 周迅 为什么要败自己口碑 江疏影挺漂亮的 国内资本少点粉丝向电影吧 还不如去年的断桥 奇迹 真的不能对比 没有最拉 只有更拉,20,1829
Fyetmm,2023-01-22 13:42:31,电影在叶密和日本长官在罪犯车上入狱就可以结束了,30,217
👸🏻👸🏻,2023-01-24 15:15:52,无法理解连无名都骂看不懂的人…就像无法理解陈小姐说自己有丈夫时全场都爆发出绿帽癖的大笑…连汪先生是“干嘛的”都要现场查 程耳属实是自作自受了,40,304
LeaRy,2023-01-22 13:56:13,片子虽然逻辑不严谨，但是质感可以，值得6分3星，就是脖子哥的演技。。。实在让我大年初一不舒服了,20,1278
专业影评人Eric,2023-01-22 11:46:30,整个电影的质感不错，梁朝伟周迅很好，但是带不动流量明星啊，不知道为什么选他，拖累了整部电影。说回电影本身，不适合春节档啊，偏文艺，有点装过头了,20,900
乖巧可爱,2023-01-22 13:16:07,60分的王一博给一部80分的影片贡献了100分的演技,40,767
人称胡子哥,2023-01-22 12:29:05,故事略简单，剪辑故弄玄虚。,20,1159
非实力祐派,2023-01-22 11:35:15,刻意风格化是个病，发病的症状是好看的，但是不能不治,30,190
二春,2023-01-22 11:23:37,两星是给导演和周迅的，导演还是认真在拍的，只是不知道是带资进组还是因为赚流量，那位在电影里格格不入，有股强烈的撕裂感，让整部电影一下就拉低了水平。,20,1264
BS档案,2023-01-22 11:47:16,刚从电影院出来。非线性叙事，开头撒线头，有些晦涩，但是2小个小时内线索都串起来了，没断掉。电影画面的观赏度非常高，程耳是有他的电影美学的，导演或许在心里面对30年代的上海有一种微妙的情结，让他总把故事背景设在旧上海。很隐秘也很别致，是属于程耳内心的角落。最后评价演员，梁朝伟一如既往地稳，王一博的肢体语言表达挺好的，导演应该也注意到了，让他通过肢体来释放和表达情绪，王传君的眼神有戏，但是他这个人物有点模糊，感觉没讲清楚。不用听那些吹上天的，但是绝对不烂，比较可贵的是独特性。,40,1999
胖头鱼的海洋馆,2023-01-22 11:59:38,打戏很实在很激情，运镜色调取景都很精致，三位女特工都非常美丽。但是剧情真的过于简单，又被拆解得过于零碎，一直期待有更丰富的剧情出现，到最后只觉得原来都是故弄玄虚。,20,811
啦啦啦德玛西亚,2023-01-22 11:44:53,真的太难看了 大过年的我为什花钱带家人看这个？剧情逻辑混乱，情节稀碎，没有主线，大段的上海话对白根本听不懂还没有字幕，让人怎么看？这电影就不需要观众，真的浪费钱！！！无名？是无聊！无语！,10,1313
